pin_name	x	y
soc_471	3386.79572	4011.81522
soc_473	3073.19572	4011.81522
soc_475	2759.59572	4011.81522
soc_477	2445.99572	4011.81522
soc_479	2132.39572	4011.81522
soc_481	1818.79572	4011.81522
soc_483	1505.19572	4011.81522
soc_492	3229.99572	3850.37394
soc_494	2916.39572	3850.37394
soc_496	2602.79572	3850.37394
soc_498	2289.19572	3850.37394
soc_500	1975.59572	3850.37394
soc_502	1661.99572	3850.37394
soc_504	1348.39572	3850.37394
soc_513	3073.19572	3688.93266
soc_515	2759.59572	3688.93266
soc_517	2445.99572	3688.93266
soc_519	2132.39572	3688.93266
soc_521	1818.79572	3688.93266
soc_523	1505.19572	3688.93266
soc_530	3543.59572	3527.49138
soc_532	3229.99572	3527.49138
soc_534	2916.39572	3527.49138
soc_536	2602.79572	3527.49138
